2,Повне найменування суб’єкта господарювання,company_name
3,Код за ЄДРПОУ,company_code
4,Коефіцієнт покриття – на початок звітного періоду,covering_coefficient_start
5,Коефіцієнт покриття – на кінець звітного періоду,covering_coefficient_end
6,Коефіцієнт фінансової стійкості – на початок звітного періоду,firmness_coefficient_start
7,Коефіцієнт фінансової стійкості – на кінець звітного періоду,firmness_coefficient_end
8,Коефіцієнт платоспроможності – на початок звітного періоду,solvency_coefficient_start
9,Коефіцієнт платоспроможності – на кінець звітного періоду,solvency_coefficient_end
10,Ступінь зносу основних засобів – на початок звітного періоду,amortization_start
11,Ступінь зносу основних засобів – на кінець звітного періоду,amortization_end
