2,Повне найменування суб’єкта господарювання*,company_name
3,Код за ЄДРПОУ,company_code
4,Основний код виду економічної діяльності (КВЕД),kved
5,Код території (КОАТУУ),region_code
6,Код організаційно-правової форми господарювання (КОПФГ),legal_form_code
7,Місцезнаходження (адреса) суб’єкта господарювання,address
8,"Розмір державної частки (щодо господарських товариств), відсотків",state_owned_part
9,Статус підприємства (позначення),company_status
10,працюючі (П) / непрацюючі (НП),is_working
14,Земельна ділянка – площа у власності,land_area_owned
15,Земельна ділянка – площа у користуванні,land_area_used
16,Земельна ділянка – площа в оренді,land_area_rent
17,Примітка,add_info
